                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.06316,               0.057107,               0.033026,               0.029426,                0.40534,                0.38179,                0.30282,                0.18402,                0.41364,                0.37584,                0.30109,                0.19613,               0.032991,               0.024852,               0.010683,               0.022925,               0.070093,               0.003323,               0.003323
                      1,               0.045107,               0.037425,               0.026459,               0.017049,                0.51003,                0.51247,                 0.4478,                0.27578,                0.52374,                0.51051,                0.44077,                 0.2681,               0.032131,               0.025238,               0.010493,               0.012364,               0.039893,              0.0064567,              0.0064567
                      2,               0.042015,               0.036884,               0.025956,               0.012275,                0.42614,                0.62155,                0.55148,                0.34792,                0.44417,                0.61366,                0.54168,                0.33596,               0.030359,               0.025755,               0.011695,               0.009433,              0.0094932,              0.0093903,              0.0093903
                      3,               0.039709,               0.037996,                0.02675,               0.011136,                0.62192,                  0.577,                0.60485,                0.41254,                0.63012,                0.57205,                0.59454,                0.37268,               0.027847,               0.024966,               0.010747,              0.0079102,                 0.0091,                 0.0091,                 0.0091
                      4,               0.037429,               0.037124,               0.026555,              0.0099851,                0.59251,                0.74819,                0.72022,                0.48134,                0.58879,                  0.718,                0.69762,                0.44076,               0.026028,               0.022569,               0.010586,              0.0079421,                 0.0091,                 0.0091,                 0.0091
                      5,               0.036274,               0.036716,               0.026263,              0.0091204,                0.64862,                0.70748,                0.71825,                0.46137,                0.63759,                0.69436,                0.69644,                0.42715,               0.026784,               0.023963,               0.010197,              0.0059965,                 0.0088,                 0.0088,                 0.0088
                      6,               0.034735,               0.034937,               0.025805,              0.0083036,                0.56863,                0.72982,                0.69045,                0.45458,                0.55767,                0.70549,                0.66102,                0.43366,               0.025212,               0.022426,               0.010396,              0.0062406,                 0.0085,                 0.0085,                 0.0085
                      7,               0.033287,               0.033339,               0.024587,              0.0079743,                0.66047,                0.66161,                0.69052,                0.49274,                0.65536,                0.65871,                0.68343,                0.46778,               0.023386,               0.019156,               0.010133,              0.0055524,                 0.0082,                 0.0082,                 0.0082
                      8,                0.03239,               0.033062,               0.024665,              0.0074078,                0.69802,                0.71674,                0.75352,                0.55436,                0.69476,                0.70829,                0.74353,                0.51371,               0.021765,                0.01966,              0.0095375,              0.0044117,                 0.0079,                 0.0079,                 0.0079
                      9,               0.031667,               0.031985,               0.024166,              0.0069947,                0.67216,                0.73422,                0.78902,                0.57316,                0.67277,                0.72123,                0.77998,                0.53316,               0.021088,               0.019503,              0.0087621,              0.0043836,                 0.0076,                 0.0076,                 0.0076
                     10,               0.030968,                0.03233,               0.024154,              0.0068031,                0.62522,                0.79132,                0.75988,                0.56825,                0.64449,                 0.7645,                0.75653,                0.52782,               0.021738,               0.019789,              0.0096339,              0.0038086,                 0.0073,                 0.0073,                 0.0073
                     11,               0.029846,               0.031532,               0.023954,              0.0062698,                0.68484,                0.71994,                0.75448,                0.56241,                0.68172,                0.71666,                0.73887,                0.52497,               0.021307,               0.019405,              0.0090878,              0.0058342,                  0.007,                  0.007,                  0.007
                     12,               0.029024,               0.030453,                0.02315,              0.0059491,                0.73976,                0.79816,                0.80829,                0.61726,                0.74595,                0.78808,                0.80742,                 0.5801,               0.020358,               0.017385,              0.0083431,              0.0043254,                 0.0067,                 0.0067,                 0.0067
                     13,               0.028813,               0.030261,               0.022709,              0.0058578,                0.75398,                0.75571,                   0.81,                0.61366,                 0.7668,                0.76272,                0.81368,                0.58273,               0.020981,               0.017016,              0.0081357,              0.0035515,                 0.0064,                 0.0064,                 0.0064
                     14,               0.028192,               0.029864,               0.022365,               0.005566,                 0.7006,                0.76209,                0.81053,                0.61391,                0.70394,                0.75341,                0.79936,                0.58646,                0.02055,               0.017326,              0.0081775,              0.0033997,                 0.0061,                 0.0061,                 0.0061
                     15,               0.027389,               0.029302,                0.02192,              0.0056251,                0.74106,                0.73417,                0.79802,                0.61205,                0.74018,                0.73296,                0.79139,                0.57525,               0.020318,               0.017328,              0.0086224,              0.0031878,                 0.0058,                 0.0058,                 0.0058
                     16,               0.027119,               0.028866,               0.021999,               0.005207,                0.70253,                0.77471,                0.82521,                0.64383,                0.70975,                0.78176,                0.82233,                 0.6032,               0.019788,               0.017176,              0.0082951,              0.0023222,                 0.0055,                 0.0055,                 0.0055
                     17,               0.026476,               0.028593,               0.021586,              0.0048103,                 0.7472,                0.75841,                0.81704,                0.63637,                0.73031,                0.75724,                0.81344,                0.60019,                 0.0193,               0.016165,              0.0080976,              0.0037001,                 0.0052,                 0.0052,                 0.0052
                     18,               0.025959,               0.027603,               0.021174,              0.0049914,                 0.7752,                0.74537,                0.83537,                 0.6488,                0.77646,                0.74522,                 0.8319,                0.61017,               0.019105,               0.015574,              0.0078728,              0.0022694,                 0.0049,                 0.0049,                 0.0049
                     19,               0.025248,                0.02775,               0.021251,              0.0047175,                 0.7421,                0.78951,                 0.8227,                0.64395,                0.74546,                0.78304,                0.81937,                0.62058,               0.018586,                0.01504,               0.007826,              0.0027607,                 0.0046,                 0.0046,                 0.0046
                     20,               0.024989,               0.027186,               0.020513,              0.0045037,                0.71243,                0.82907,                0.83739,                0.66322,                0.71201,                0.82127,                0.82716,                0.62641,               0.018669,               0.015821,              0.0079259,              0.0038649,                 0.0043,                 0.0043,                 0.0043
                     21,               0.024182,               0.026778,               0.020316,              0.0043201,                0.75211,                0.78503,                0.85003,                0.67495,                0.76298,                0.77976,                0.83785,                0.62142,               0.018514,               0.015823,              0.0075144,               0.002204,                  0.004,                  0.004,                  0.004
                     22,               0.023953,               0.026018,               0.020081,              0.0042266,                 0.7522,                0.82919,                0.85673,                0.68257,                0.77477,                0.79781,                0.84622,                0.63227,               0.017954,               0.015191,               0.007423,               0.002928,                 0.0037,                 0.0037,                 0.0037
                     23,               0.023158,               0.025854,               0.019634,              0.0039233,                0.80787,                0.81323,                0.87419,                0.68596,                0.80047,                0.80808,                0.86366,                0.64442,               0.017855,               0.015048,              0.0075426,              0.0029463,                 0.0034,                 0.0034,                 0.0034
                     24,                0.02291,               0.025509,               0.019499,               0.003899,                0.78011,                0.77493,                0.84304,                0.67922,                0.77287,                0.77075,                0.82734,                0.63832,               0.017576,               0.014808,               0.007444,              0.0017987,                 0.0031,                 0.0031,                 0.0031
                     25,               0.022744,               0.025309,               0.019051,              0.0038903,                0.80347,                0.83404,                0.87355,                0.69627,                0.79697,                0.82518,                0.85804,                 0.6527,               0.017198,               0.014651,              0.0070876,              0.0034953,                 0.0028,                 0.0028,                 0.0028
                     26,               0.021951,               0.025306,               0.018736,               0.003689,                0.81008,                0.82152,                0.88815,                 0.7167,                0.80826,                0.81584,                0.87628,                0.67692,               0.016924,               0.014178,              0.0070634,              0.0019649,                 0.0025,                 0.0025,                 0.0025
                     27,               0.021564,               0.024867,               0.018627,              0.0034624,                0.75615,                0.83379,                 0.8697,                0.70629,                0.76216,                0.83367,                0.86317,                 0.6577,               0.016987,                0.01456,              0.0072456,              0.0019981,                 0.0022,                 0.0022,                 0.0022
                     28,               0.021331,               0.024271,               0.017908,              0.0033413,                0.80769,                0.85054,                0.88627,                0.72142,                0.81193,                0.84282,                0.87409,                0.67494,               0.017149,               0.014418,              0.0069776,              0.0027857,                 0.0019,                 0.0019,                 0.0019
                     29,               0.020798,               0.024243,               0.018123,              0.0032274,                0.83015,                0.82353,                 0.8849,                0.71763,                0.82987,                0.81975,                0.87386,                0.67641,               0.016831,               0.014057,              0.0070302,              0.0022234,                 0.0016,                 0.0016,                 0.0016
                     31,                0.80765,                0.85105,                0.88625,                0.72188,                0.81289,                0.84282,                0.87415,                0.67501,               0.017145,               0.014417,              0.0069773,              0.0027841
